Metric,Value,Unit
Annualized capital cost,16781123.581096195,EUR/year
Fixed O&M cost,4182597.8370355745,EUR/year
Variable operating annual cost,6691.466025311495,EUR/year
Private total annual cost,20970412.88415708,EUR/year
Carbon external cost,426.436696861207,EUR/year
Social total annual cost,20970839.32085394,EUR/year
Annual CO2 emissions,9.476371041360157,tCO2/year
Annual renewable available,1437.9143953849111,MWh/year
Annual renewable used,1299.4441037227966,MWh/year
Renewable utilization rate (including export),90.37006012968888,%
Renewable curtailment rate,9.629939870311118,%
Annual renewable curtailment,138.47029166211462,MWh/year
Annual renewable local absorption,1299.4441037227966,MWh/year
Annual renewable export,0.0,MWh/year
Renewable local consumption rate,100.0,%
Renewable local absorption rate,90.37006012968888,%
Renewable export rate,0.0,%
Annual unmet load,0.0,MWh/year
Annual electric unmet load,0.0,MWh/year
Annual heat unmet load,0.0,MWh/year
Annual cooling unmet load,0.0,MWh/year
Electric service rate,100.0,%
Heat service rate,100.0,%
Cooling service rate,100.0,%
Total multi-energy service rate,100.0,%
Unserved energy ratio,0.0,%
Expected shortage duration,0.0,h/year
Annual grid import,0.0,MWh/year
Annual grid export,0.0,MWh/year
Peak grid import,0.0,MW
Peak grid export,0.0,MW
Grid peak-valley difference,0.0,MW
Grid weighted standard deviation,0.0,MW
Maximum grid ramp,0.0,MW/step
Annual battery throughput,41.03384495695375,MWh/year
Battery equivalent cycles,0.7410895060841793,cycles/year
Annual thermal-storage throughput,46.53799298944793,MWh/year
Thermal-storage equivalent cycles,0.6871420693928433,cycles/year
Annual flexible-load shifting,18.073525158694167,MWh/year
Annual interruptible load,0.0,MWh/year
Battery simultaneous overlap,0.0,MWh/year
Thermal-storage simultaneous overlap,0.0,MWh/year
Grid import-export overlap,0.0,MWh/year
Flexible-load in-out overlap,0.0,MWh/year
